category,status,count,result
accommodation,200,11,FOUND
activity,200,1,FOUND
airport,200,0,EMPTY
commercial,200,4,FOUND
catering,200,4,FOUND
emergency,200,0,EMPTY
education,200,11,FOUND
childcare,200,0,EMPTY
entertainment,200,0,EMPTY
healthcare,200,1,FOUND
heritage,200,0,EMPTY
highway,200,20,FOUND
leisure,200,5,FOUND
man_made,200,0,EMPTY
maritime,200,0,EMPTY
waterway,200,0,EMPTY
natural,200,20,FOUND
national_park,200,0,EMPTY
office,200,1,FOUND
parking,200,8,FOUND
pet,200,0,EMPTY
power,200,20,FOUND
production,200,0,EMPTY
railway,200,0,EMPTY
rental,200,0,EMPTY
service,200,3,FOUND
tourism,200,1,FOUND
religion,200,2,FOUND
camping,200,0,EMPTY
amenity,200,0,EMPTY
beach,200,0,EMPTY
adult,200,0,EMPTY
building,200,20,FOUND
ski,200,0,EMPTY
sport,200,0,EMPTY
public_transport,200,2,FOUND
administrative,200,6,FOUND
postal_code,200,0,EMPTY
political,200,0,EMPTY
low_emission_zone,200,0,EMPTY
populated_place,200,6,FOUND
memorial,200,0,EMPTY
